case_id,stage,symbol,wing_mode,butterfly_width,broken_wing_extra_width,default_dte,max_option_spread,net_dollar_pnl,gross_dollar_pnl,friction_adjustment_dollars,closed_layers,winning_layers,losing_layers,execution_filtered_entries,win_rate_by_closed_layer,profit_factor_by_closed_layer,return_on_capital,max_drawdown,max_gross_deployment_dollars,max_modeled_capital_at_risk_dollars,synthetic_chain_state_path,synthetic_chain_report_path
s1_033,stage1,SPX,broken_lower,75.0,15.0,7,5.0,-127102.656,-48324.9647,78777.6914,439,112,327,0,0.255125,0.433879,-1.271027,-1274.2624,4892.94,4948.14,corridor_outputs\paper_runner\SPX\paper_state.json,corridor_outputs\paper_runner\SPX\paper_daily_report.json
s1_020,stage1,SPX,broken_upper,75.0,15.0,5,5.0,-148357.6241,-72184.2501,76173.374,418,103,315,0,0.246411,0.380514,-1.483576,-1486.5836,5150.68,5205.88,corridor_outputs\paper_runner\SPX\paper_state.json,corridor_outputs\paper_runner\SPX\paper_daily_report.json
s1_021,stage1,SPX,broken_upper,75.0,15.0,7,5.0,-173284.8463,-98246.8758,75037.9705,418,88,330,0,0.210526,0.264707,-1.732848,-1735.4723,4892.94,4948.14,corridor_outputs\paper_runner\SPX\paper_state.json,corridor_outputs\paper_runner\SPX\paper_daily_report.json
s1_008,stage1,SPX,symmetric,75.0,0.0,5,5.0,-192294.0181,-105327.5716,86966.4466,475,103,372,0,0.216842,0.320918,-1.92294,-1926.3276,5116.14,5161.34,corridor_outputs\paper_runner\SPX\paper_state.json,corridor_outputs\paper_runner\SPX\paper_daily_report.json
s1_009,stage1,SPX,symmetric,75.0,0.0,7,5.0,-223181.8309,-137341.2154,85840.6156,474,84,390,0,0.177215,0.214205,-2.231818,-2234.8304,4931.4,4976.6,corridor_outputs\paper_runner\SPX\paper_state.json,corridor_outputs\paper_runner\SPX\paper_daily_report.json
s1_028,stage1,SPX,broken_lower,50.0,10.0,3,5.0,-257306.6993,-154175.6151,103131.0842,806,113,693,0,0.140199,0.311693,-2.573067,-2573.4867,2707.1259,2734.7259,corridor_outputs\paper_runner\SPX\paper_state.json,corridor_outputs\paper_runner\SPX\paper_daily_report.json
s1_016,stage1,SPX,broken_upper,50.0,10.0,3,5.0,-291458.9876,-193383.2396,98075.7481,766,96,670,0,0.125326,0.210499,-2.91459,-2917.6635,2707.1259,2734.7259,corridor_outputs\paper_runner\SPX\paper_state.json,corridor_outputs\paper_runner\SPX\paper_daily_report.json
s1_029,stage1,SPX,broken_lower,50.0,10.0,5,5.0,-321549.031,-219643.2084,101905.8226,821,93,728,0,0.113276,0.166601,-3.21549,-3215.7138,3389.24,3444.44,corridor_outputs\paper_runner\SPX\paper_state.json,corridor_outputs\paper_runner\SPX\paper_daily_report.json
s1_017,stage1,SPX,broken_upper,50.0,10.0,5,5.0,-335837.5263,-240058.5352,95778.9911,771,72,699,0,0.093385,0.103293,-3.358375,-3360.991,3389.24,3444.44,corridor_outputs\paper_runner\SPX\paper_state.json,corridor_outputs\paper_runner\SPX\paper_daily_report.json
s1_030,stage1,SPX,broken_lower,50.0,10.0,7,5.0,-339159.4169,-237406.3506,101753.0663,824,81,743,0,0.098301,0.116382,-3.391594,-3391.7365,3312.82,3368.02,corridor_outputs\paper_runner\SPX\paper_state.json,corridor_outputs\paper_runner\SPX\paper_daily_report.json
s1_018,stage1,SPX,broken_upper,50.0,10.0,7,5.0,-346914.4176,-252507.3415,94407.0762,764,54,710,0,0.070681,0.069328,-3.469144,-3471.5251,3312.82,3368.02,corridor_outputs\paper_runner\SPX\paper_state.json,corridor_outputs\paper_runner\SPX\paper_daily_report.json
s1_004,stage1,SPX,symmetric,50.0,0.0,3,5.0,-374549.8923,-260015.2178,114534.6745,898,88,810,0,0.097996,0.155753,-3.745499,-3745.8036,3405.36,3450.56,corridor_outputs\paper_runner\SPX\paper_state.json,corridor_outputs\paper_runner\SPX\paper_daily_report.json
s1_005,stage1,SPX,symmetric,50.0,0.0,5,5.0,-413625.3337,-300639.222,112986.1117,909,74,835,0,0.081408,0.082521,-4.136253,-4136.4077,3383.66,3428.86,corridor_outputs\paper_runner\SPX\paper_state.json,corridor_outputs\paper_runner\SPX\paper_daily_report.json
s1_006,stage1,SPX,symmetric,50.0,0.0,7,5.0,-423705.7242,-312568.9061,111136.8181,898,54,844,0,0.060134,0.053071,-4.237057,-4237.1497,3318.6,3363.8,corridor_outputs\paper_runner\SPX\paper_state.json,corridor_outputs\paper_runner\SPX\paper_daily_report.json
s1_013,stage1,SPX,broken_upper,25.0,5.0,3,5.0,-579673.6264,-458669.3835,121004.2429,1839,30,1809,0,0.016313,0.020352,-5.796736,-5796.7363,1345.1572,1372.7572,corridor_outputs\paper_runner\SPX\paper_state.json,corridor_outputs\paper_runner\SPX\paper_daily_report.json
s1_014,stage1,SPX,broken_upper,25.0,5.0,5,5.0,-587913.4773,-466858.69,121054.7873,1860,24,1836,0,0.012903,0.011395,-5.879135,-5879.1348,1342.5745,1370.1745,corridor_outputs\paper_runner\SPX\paper_state.json,corridor_outputs\paper_runner\SPX\paper_daily_report.json
s1_015,stage1,SPX,broken_upper,25.0,5.0,7,5.0,-589757.2598,-468706.5983,121050.6614,1863,12,1851,0,0.006441,0.005464,-5.897573,-5897.5726,1335.3909,1362.9909,corridor_outputs\paper_runner\SPX\paper_state.json,corridor_outputs\paper_runner\SPX\paper_daily_report.json
s1_025,stage1,SPX,broken_lower,25.0,5.0,3,5.0,-594199.4957,-469576.3836,124623.112,1894,44,1850,0,0.023231,0.033651,-5.941995,-5941.995,1345.1572,1372.7572,corridor_outputs\paper_runner\SPX\paper_state.json,corridor_outputs\paper_runner\SPX\paper_daily_report.json
s1_026,stage1,SPX,broken_lower,25.0,5.0,5,5.0,-610241.7391,-485671.2984,124570.4408,1914,32,1882,0,0.016719,0.016391,-6.102417,-6102.4174,1342.5745,1370.1745,corridor_outputs\paper_runner\SPX\paper_state.json,corridor_outputs\paper_runner\SPX\paper_daily_report.json
s1_027,stage1,SPX,broken_lower,25.0,5.0,7,5.0,-612194.9144,-487115.2591,125079.6553,1925,26,1899,0,0.013506,0.011251,-6.121949,-6121.9491,1335.3909,1362.9909,corridor_outputs\paper_runner\SPX\paper_state.json,corridor_outputs\paper_runner\SPX\paper_daily_report.json
s1_001,stage1,SPX,symmetric,25.0,0.0,3,5.0,-675063.7301,-540304.9622,134758.7679,2049,25,2024,0,0.012201,0.014542,-6.750637,-6750.6373,844.79,867.39,corridor_outputs\paper_runner\SPX\paper_state.json,corridor_outputs\paper_runner\SPX\paper_daily_report.json
s1_003,stage1,SPX,symmetric,25.0,0.0,7,5.0,-680069.7362,-546176.0893,133893.6468,2060,11,2049,0,0.00534,0.00417,-6.800697,-6800.6974,835.62,858.22,corridor_outputs\paper_runner\SPX\paper_state.json,corridor_outputs\paper_runner\SPX\paper_daily_report.json
s1_002,stage1,SPX,symmetric,25.0,0.0,5,5.0,-683778.4036,-549291.6236,134486.78,2066,17,2049,0,0.008228,0.007557,-6.837784,-6837.784,842.36,864.96,corridor_outputs\paper_runner\SPX\paper_state.json,corridor_outputs\paper_runner\SPX\paper_daily_report.json
