case_id,stage,symbol,stage1_source_case_id,wing_mode,butterfly_width,broken_wing_extra_width,default_dte,max_option_spread,net_dollar_pnl,gross_dollar_pnl,friction_adjustment_dollars,closed_layers,winning_layers,losing_layers,execution_filtered_entries,win_rate_by_closed_layer,profit_factor_by_closed_layer,return_on_capital,max_drawdown,max_gross_deployment_dollars,max_modeled_capital_at_risk_dollars,synthetic_chain_state_path,synthetic_chain_report_path
s2_021,stage2,SPX,s1_022,broken_upper,100.0,20.0,3,1.35,0.0,0.0,0.0,0,0,0,7539,,,0.0,0.0,0.0,0.0,corridor_outputs\paper_runner\SPX\paper_state.json,corridor_outputs\paper_runner\SPX\paper_daily_report.json
s2_022,stage2,SPX,s1_022,broken_upper,100.0,20.0,3,1.5,0.0,0.0,0.0,0,0,0,7539,,,0.0,0.0,0.0,0.0,corridor_outputs\paper_runner\SPX\paper_state.json,corridor_outputs\paper_runner\SPX\paper_daily_report.json
s2_023,stage2,SPX,s1_022,broken_upper,100.0,20.0,3,2.0,0.0,0.0,0.0,0,0,0,7539,,,0.0,0.0,0.0,0.0,corridor_outputs\paper_runner\SPX\paper_state.json,corridor_outputs\paper_runner\SPX\paper_daily_report.json
s2_024,stage2,SPX,s1_022,broken_upper,100.0,20.0,3,3.0,0.0,0.0,0.0,0,0,0,7539,,,0.0,0.0,0.0,0.0,corridor_outputs\paper_runner\SPX\paper_state.json,corridor_outputs\paper_runner\SPX\paper_daily_report.json
s2_025,stage2,SPX,s1_022,broken_upper,100.0,20.0,3,5.0,0.0,0.0,0.0,0,0,0,7539,,,0.0,0.0,0.0,0.0,corridor_outputs\paper_runner\SPX\paper_state.json,corridor_outputs\paper_runner\SPX\paper_daily_report.json
s2_026,stage2,SPX,s1_034,broken_lower,100.0,20.0,3,1.35,0.0,0.0,0.0,0,0,0,7539,,,0.0,0.0,0.0,0.0,corridor_outputs\paper_runner\SPX\paper_state.json,corridor_outputs\paper_runner\SPX\paper_daily_report.json
s2_027,stage2,SPX,s1_034,broken_lower,100.0,20.0,3,1.5,0.0,0.0,0.0,0,0,0,7539,,,0.0,0.0,0.0,0.0,corridor_outputs\paper_runner\SPX\paper_state.json,corridor_outputs\paper_runner\SPX\paper_daily_report.json
s2_028,stage2,SPX,s1_034,broken_lower,100.0,20.0,3,2.0,0.0,0.0,0.0,0,0,0,7539,,,0.0,0.0,0.0,0.0,corridor_outputs\paper_runner\SPX\paper_state.json,corridor_outputs\paper_runner\SPX\paper_daily_report.json
s2_029,stage2,SPX,s1_034,broken_lower,100.0,20.0,3,3.0,0.0,0.0,0.0,0,0,0,7539,,,0.0,0.0,0.0,0.0,corridor_outputs\paper_runner\SPX\paper_state.json,corridor_outputs\paper_runner\SPX\paper_daily_report.json
s2_030,stage2,SPX,s1_034,broken_lower,100.0,20.0,3,5.0,0.0,0.0,0.0,0,0,0,7539,,,0.0,0.0,0.0,0.0,corridor_outputs\paper_runner\SPX\paper_state.json,corridor_outputs\paper_runner\SPX\paper_daily_report.json
